noise_level,method,seed,success_rate
0.0,PPO,0,99.0
0.0,Random,0,0.0
0.0,PPO,1,99.0
0.0,Random,1,0.0
0.0,PPO,2,99.0
0.0,Random,2,0.0
0.0,PPO,3,100.0
0.0,Random,3,0.0
0.0,PPO,4,100.0
0.0,Random,4,0.0
0.1,PPO,0,23.0
0.1,Random,0,0.0
0.1,PPO,1,22.0
0.1,Random,1,0.0
0.1,PPO,2,28.000000000000004
0.1,Random,2,0.0
0.1,PPO,3,25.0
0.1,Random,3,0.0
0.1,PPO,4,23.0
0.1,Random,4,0.0
0.2,PPO,0,6.0
0.2,Random,0,0.0
0.2,PPO,1,4.0
0.2,Random,1,0.0
0.2,PPO,2,5.0
0.2,Random,2,0.0
0.2,PPO,3,3.0
0.2,Random,3,0.0
0.2,PPO,4,6.0
0.2,Random,4,0.0
0.3,PPO,0,0.0
0.3,Random,0,0.0
0.3,PPO,1,0.0
0.3,Random,1,0.0
0.3,PPO,2,0.0
0.3,Random,2,0.0
0.3,PPO,3,0.0
0.3,Random,3,0.0
0.3,PPO,4,2.0
0.3,Random,4,0.0
