timesteps,success_rate,seed
5000,0.0,0
10000,0.0,0
25000,25.0,0
50000,80.0,0
100000,100.0,0
200000,100.0,0
300000,90.0,0
500000,100.0,0
5000,1.0,1
10000,0.0,1
25000,18.0,1
50000,67.0,1
100000,100.0,1
200000,100.0,1
300000,100.0,1
500000,100.0,1
5000,0.0,2
10000,2.0,2
25000,22.0,2
50000,68.0,2
100000,100.0,2
200000,99.0,2
300000,100.0,2
500000,99.0,2
5000,1.0,3
10000,0.0,3
25000,26.0,3
50000,74.0,3
100000,99.0,3
200000,100.0,3
300000,100.0,3
500000,96.0,3
5000,0.0,4
10000,0.0,4
25000,12.0,4
50000,82.0,4
100000,100.0,4
200000,100.0,4
300000,92.0,4
500000,91.0,4
